"index_name","esg_dummy","esg_score","perf_mean","perf_sd","sharpe_like","n_obs"
"FTSE All World",0,0,0.00507115699636458,0.0416667306236767,0.121707581095478,192
"FTSE4Good All World",1,1,0.00734813398146871,0.0419775535898977,0.175049123949832,127
"MSCI KLD 400 Social",1,1,0.00284255833502128,0.187430743871329,0.015165912892992,234
"MSCI US",0,0,0.00540390450301654,0.044351988789909,0.121841311978462,240
"MSCI World",0,0,0.00349048028123088,0.0454261719733286,0.0768385300720534,240
"MSCI World ESG",1,1,0.00185790067991912,0.0298966282462664,0.0621441543379109,67
"STOXX Global 1800",0,0,0.00342087132248516,0.0452709041821137,0.0755644576641067,240
"STOXX Global ESG",1,1,0.00216836227147698,0.050211215367641,0.0431848194790839,177
